000;2764;0;20200703095649;0;1
000;4112;0;20200703095656;0;1
000;5326;0;20200703095707;0;1
000;3767;0;20200703095717;0;1
003;2765;0;20200703095727;0;1
003;3176;0;20200703095741;0;1
079;52331;0;20200703120904;0;1
099;4916;0;20200703121031;0;1
000;3174;0;20200703121053;0;1
099;45054;0;20200703121224;0;1
033;50996;0;20200703121359;0;1
076;39733;0;20200703121811;0;1
098;43726;0;20200703121934;0;1
017;56933;0;20200703122108;0;1
087;50277;0;20200703122301;0;1
018;40759;0;20200703122415;0;1
065;40553;0;20200703122526;0;1
078;39734;0;20200703122644;0;1
011;52534;0;20200703122816;0;1
096;50794;0;20200703122937;0;1
043;63184;0;20200703123117;0;1
000;4112;0;20200703095656;0;1
000;5326;0;20200703095707;0;1
000;3767;0;20200703095717;0;1
003;2765;0;20200703095727;0;1
003;3176;0;20200703095741;0;1
079;52331;0;20200703120904;0;1
099;4916;0;20200703121031;0;1
000;3174;0;20200703121053;0;1
099;45054;0;20200703121224;0;1
033;50996;0;20200703121359;0;1
076;39733;0;20200703121811;0;1
098;43726;0;20200703121934;0;1
017;56933;0;20200703122108;0;1
087;50277;0;20200703122301;0;1
018;40759;0;20200703122415;0;1
065;40553;0;20200703122526;0;1
078;39734;0;20200703122644;0;1
011;52534;0;20200703122816;0;1
096;50794;0;20200703122937;0;1
043;63184;0;20200703123117;0;1
